dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,execution_time
Meat,3,60,60,1.0,1.0,0.9333333333333333,0.9333020637898687,0.8833333333333333,0.8832603710652491,35.748345375061035
MelbournePedestrian,10,1194,2439,0.10045100748538971,0.01825633383010432,0.1004510045100451,0.01833867071904698,0.1004510045100451,0.01833867071904698,35.36079740524292
MiddlePhalanxOutlineAgeGroup,3,400,154,0.6168830990791321,0.37253168287651045,0.6363636363636364,0.5969095839225709,0.6298701298701299,0.5744284954811272,38.21214842796326
MiddlePhalanxOutlineCorrect,2,600,291,0.8453608155250549,0.8358631754427746,0.8213058419243986,0.818968733600799,0.8109965635738832,0.8087048239829471,53.827739238739014
MiddlePhalanxTW,6,399,154,0.6038960814476013,0.46286147365754604,0.6038961038961039,0.5655231396510465,0.5974025974025974,0.5319747496097311,43.384143114089966
[Errno 2] No such file or directory: 'data//UCRArchive_2018/Missing_value_and_variable_length_datasets_adjusted/Missing_value_and_variable_length_datasets_adjusted_TRAIN.tsv'
MixedShapesRegularTrain,5,500,2425,0.9101030826568604,0.909257504434664,0.9129896907216495,0.9123563408370021,0.8907216494845361,0.8900650415414585,4268.384114027023
MixedShapesSmallTrain,5,100,2425,0.8123711347579956,0.8077676273968155,0.8738144329896907,0.8733518273855109,0.8276288659793815,0.8261687878097281,3701.289507627487
MoteStrain,2,20,1252,0.8777955174446106,0.8769950356481686,0.8809904153354633,0.8804659657183079,0.8793929712460063,0.8788614820366744,22.53734827041626
NonInvasiveFetalECGThorax1,42,1800,1965,0.8284987211227417,0.8208576586031459,0.8229007633587786,0.8197982268334585,0.7969465648854962,0.7902515403472752,1857.5522572994232
NonInvasiveFetalECGThorax2,42,1800,1965,0.6854962110519409,0.6525307894451934,0.8687022900763359,0.8671353604639918,0.805089058524173,0.7990359963890339,1829.8198173046112
OliveOil,4,30,30,0.9000000357627869,0.8735087719298245,0.8,0.8,0.7666666666666667,0.736111111111111,13.790671110153198
OSULeaf,6,200,242,0.5578511953353882,0.5353595339662536,0.7768595041322314,0.7379978992969439,0.6735537190082644,0.6344730660185027,62.61709952354431
PhalangesOutlinesCorrect,2,1800,858,0.8403263688087463,0.8285349192387303,0.8065268065268065,0.8075629277927674,0.8205128205128205,0.8211555184801899,111.24881172180176
Phoneme,39,214,1896,0.11286919564008713,0.0052011179973265285,0.2974683544303797,0.26245295645031314,0.2742616033755274,0.22609178255627055,478.1134223937988
PickupGestureWiimoteZ,10,50,50,0.09999999403953552,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,21.394219398498535
PigAirwayPressure,52,104,208,0.11538462340831757,0.10471905231520616,0.22596153846153846,0.17703131607483835,0.2548076923076923,0.21390004375238958,311.17032074928284
PigArtPressure,52,104,208,0.16826923191547394,0.13192988597846897,0.7451923076923077,0.7031440781440781,0.5048076923076923,0.42601810582579813,538.6234254837036
PigCVP,52,104,208,0.16346155107021332,0.12393994893994895,0.28846153846153844,0.22983202694741156,0.18269230769230768,0.1126607325136737,188.70398545265198
PLAID,11,537,537,0.06145251542329788,0.010526315789473684,0.061452513966480445,0.007115554248750367,0.061452513966480445,0.007115554248750367,96.0210177898407
Plane,7,105,105,0.9904762506484985,0.9907834101382489,1.0,1.0,1.0,1.0,44.451289653778076
PowerCons,2,180,180,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9166666666666666,0.9164578111946532,57.58395457267761
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8682926893234253,0.7144803534061847,0.8634146341463415,0.8612323967947089,0.8634146341463415,0.8612323967947089,45.06322717666626
ProximalPhalanxOutlineCorrect,2,600,291,0.893470823764801,0.8757112743004367,0.8797250859106529,0.874991364530912,0.8762886597938144,0.8671363115693012,63.571938276290894
ProximalPhalanxTW,6,400,205,0.8146341443061829,0.42436267436267433,0.8390243902439024,0.7989884161922097,0.8195121951219512,0.7752839299601755,49.88712167739868
RefrigerationDevices,3,375,375,0.3973333239555359,0.39360368767542925,0.584,0.5586552833772257,0.576,0.5590084866961147,94.66934609413147
Rock,4,20,50,0.7400000095367432,0.7000719868366928,0.5,0.4154177897574124,0.44,0.38967391304347826,63.599512815475464
ScreenType,3,375,375,0.46133333444595337,0.38817979459317903,0.5146666666666667,0.5037391233481281,0.504,0.49838657698441347,132.3438012599945
SemgHandGenderCh2,2,300,600,0.8233333826065063,0.7935172198846814,0.7216666666666667,0.7202066738826751,0.725,0.7160000000000001,341.6522533893585
SemgHandMovementCh2,6,450,450,0.45777779817581177,0.4529910041151914,0.3933333333333333,0.38524149553131504,0.41555555555555557,0.4042504601024348,441.3743031024933
SemgHandSubjectCh2,5,450,450,0.6622222661972046,0.6604682467189077,0.4666666666666667,0.4416462662134091,0.4866666666666667,0.45561072103294364,465.53059792518616
