dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
FaceFour,4,24,88,0.886363685131073,0.8948148148148148,0.8068181818181818,0.8069346776243328,0.9090909361839294,0.9093769250810207,0.8295454545454546,0.8293671116163459,0.886363685131073,0.8902030578117535,0.7727272727272727,0.7694381060704139,0.9204545617103577,0.9269192907307361,0.7840909090909091,0.7842686988263696,0.875,0.8852861952861952,0.7954545454545454,0.7946667077433376,0.886363685131073,0.889680262348842,0.7159090909090909,0.7087021940535081,0.8522727489471436,0.8574228462776071,0.7840909090909091,0.7831086350764012,78.1262218952179
EOGVerticalSignal,12,362,362,0.34530389308929443,0.29817357259682575,0.4005524861878453,0.3484861066318021,0.3038674294948578,0.2577726663229944,0.43922651933701656,0.3822026130671008,0.2596685290336609,0.19325646222954304,0.40331491712707185,0.33858480850442235,0.3784530460834503,0.3420944125602358,0.4116022099447514,0.36917994470323723,0.3232044279575348,0.24640628483397461,0.3425414364640884,0.26069849511247073,0.3287293016910553,0.2757303443512475,0.3812154696132597,0.33558585435936905,0.35635361075401306,0.30240685663102157,0.3867403314917127,0.3127593022354186,868.344643831253
FacesUCR,14,200,2050,0.7751219272613525,0.7558197171772415,0.8726829268292683,0.873119622453153,0.774146318435669,0.7337082534436842,0.848780487804878,0.8493205211964082,0.7526829242706299,0.6995049554481637,0.8404878048780487,0.8394915789287609,0.7302439212799072,0.6999295359953258,0.8409756097560975,0.8374524448499319,0.7458536624908447,0.70469099431783,0.8551219512195122,0.8511031672958492,0.7531707286834717,0.710948838822402,0.8424390243902439,0.8383408070865445,0.7292683124542236,0.6825286185309459,0.8263414634146341,0.8233319053175026,581.4714632034302
FordA,2,3601,1320,0.8060605525970459,0.8058823529411765,0.9007575757575758,0.9007745026592033,0.8068181276321411,0.8067861347526075,0.8962121212121212,0.8960510426030727,0.8022726774215698,0.8020626801512853,0.9,0.8994583333333334,0.7916666269302368,0.7913791904478107,0.8992424242424243,0.8989833428124284,0.7962120771408081,0.7962120042539051,0.8977272727272727,0.8976929974292286,0.7871211767196655,0.786468140910763,0.8931818181818182,0.8931005262268628,0.7954545021057129,0.7954545454545454,0.9,0.8996466504541581,10517.390416383743
Fish,7,175,175,0.8914285898208618,0.8937738276009368,0.7028571428571428,0.7056006530686711,0.8114285469055176,0.8170798982084829,0.6571428571428571,0.6387611834540464,0.822857141494751,0.8297524062749174,0.6971428571428572,0.69327392555521,0.8114285469055176,0.8123277786933946,0.7028571428571428,0.6963795473625982,0.8342856764793396,0.8301246816213802,0.72,0.718012196331524,0.8057142496109009,0.8108301028001318,0.7485714285714286,0.7517666598411942,0.8285714387893677,0.8378957226821911,0.72,0.7133647886684458,737.8812403678894
FordB,2,3636,810,0.7000000476837158,0.6979332761417472,0.7716049382716049,0.7695297075068659,0.6987654566764832,0.6987360449731417,0.774074074074074,0.7738973269231497,0.6962963342666626,0.6953136468170475,0.7617283950617284,0.7609969253850825,0.7024691700935364,0.702269014838506,0.7691358024691358,0.7689550905771947,0.6975309252738953,0.6975082729848747,0.7592592592592593,0.7581507818340621,0.693827211856842,0.6935581305947608,0.7679012345679013,0.7676293118742213,0.6975309252738953,0.6960255862363693,0.7567901234567901,0.7559749022966248,11354.841699838638
FreezerSmallTrain,2,28,2850,0.8140351176261902,0.8129406205046306,0.7926315789473685,0.7914886879502905,0.8207017779350281,0.8203671695793865,0.8414035087719298,0.8403999096070284,0.8196491599082947,0.8156842870257037,0.8382456140350877,0.8358116647261321,0.7880702018737793,0.7838116169544741,0.8333333333333334,0.8314024266841855,0.8428070545196533,0.8397442334030855,0.8245614035087719,0.8232445016015909,0.7800000309944153,0.7794754379731708,0.8217543859649122,0.8183883603973731,0.7568421363830566,0.7552620123347302,0.8129824561403509,0.8127282645881299,153.0330672264099
FreezerRegularTrain,2,150,2850,0.9887719750404358,0.9887711335392944,0.9873684210526316,0.9873682655372796,0.9845614433288574,0.9845594569263025,0.9908771929824561,0.9908769728392339,0.9712281227111816,0.9712086597255349,0.9905263157894737,0.9905262586379406,0.9877193570137024,0.9877187524123879,0.9849122807017544,0.9849097373259955,0.9789474010467529,0.978945875386177,0.9887719298245614,0.988771924295192,0.9719298481941223,0.9719138355895064,0.9842105263157894,0.9842099645035076,0.9712281227111816,0.9712256754147837,0.992280701754386,0.9922806409308734,959.1362791061401
GunPoint,2,50,150,0.9733333587646484,0.9733333333333334,0.9866666666666667,0.9866666666666667,0.9533333778381348,0.9533312591670741,0.98,0.9800008889283968,0.9600000381469727,0.96,0.9866666666666667,0.9866666666666667,0.9533333778381348,0.9533312591670741,0.98,0.9800008889283968,0.9600000381469727,0.9599928876244666,0.9866666666666667,0.9866666666666667,0.9266666769981384,0.926663407262545,0.9733333333333334,0.9733333333333334,0.9399999976158142,0.9399973332148095,0.9666666666666667,0.9666622220246824,224.69177961349487
GunPointAgeSpan,2,135,316,0.9367088675498962,0.9364543114543115,0.9588607594936709,0.9588586990494948,0.8987342119216919,0.8980439604759024,0.9746835443037974,0.9746835443037974,0.9240506291389465,0.923855421686747,0.9620253164556962,0.9620024759146495,0.9145569801330566,0.9145492603683636,0.9525316455696202,0.9524759332152675,0.8955696225166321,0.8950134404542571,0.9715189873417721,0.9715198430814336,0.892405092716217,0.8914264925825619,0.9556962025316456,0.9556535480411433,0.9367088675498962,0.9364543114543115,0.9683544303797469,0.9683506260636235,708.8791399002075
