dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,execution_time
ECG200,2,100,100,0.9099999666213989,0.9017359973796266,0.89,0.8896517087018233,0.88,0.8792087912087913,52.576438903808594
ECG5000,5,500,4500,0.9402222037315369,0.5789361120548138,0.9404444444444444,0.9271746864449457,0.9391111111111111,0.9254697674548402,165.88713717460632
ECGFiveDays,2,23,861,0.9628338813781738,0.9627973297038046,0.7630662020905923,0.7621501812344772,0.7967479674796748,0.7963425757699353,41.483134031295776
ElectricDevices,7,8926,7711,0.568927526473999,0.4044311565215201,0.7047075606276747,0.6866735868033036,0.7118402282453637,0.6917308105781811,920.7503275871277
EOGHorizontalSignal,12,362,362,0.47790056467056274,0.48808118087818314,0.5303867403314917,0.5159867854094896,0.5662983425414365,0.5490813808398268,815.4228622913361
EOGVerticalSignal,12,362,362,0.4419889748096466,0.4048827534131271,0.38950276243093923,0.33020246665579295,0.43646408839779005,0.40924293035608517,635.4284937381744
EthanolLevel,4,504,500,0.7740000486373901,0.7756481273602285,0.49,0.471800966350778,0.446,0.4014992631647276,2164.1243278980255
FaceAll,14,560,1690,0.6881656646728516,0.7123838054703845,0.7970414201183432,0.7876792773869847,0.7739644970414201,0.7599869792875134,260.3120582103729
FaceFour,4,24,88,0.9090909361839294,0.9159566875845946,0.8295454545454546,0.8327642086424287,0.8295454545454546,0.8303630863671848,37.707197189331055
FacesUCR,14,200,2050,0.6424390077590942,0.5981374846613035,0.868780487804878,0.8675244470713511,0.8165853658536585,0.8095278377094052,1096.0217926502228
FiftyWords,50,450,455,0.5076923370361328,0.29152479076784105,0.676923076923077,0.6471455528975797,0.6175824175824176,0.5795617001310157,4319.052493572235
Fish,7,175,175,0.8914285898208618,0.8925473476075645,0.7542857142857143,0.749066854327938,0.6971428571428572,0.6976898839991442,798.4975175857544
FordA,2,3601,1320,0.8242424130439758,0.8241390716307104,0.9022727272727272,0.9022893957483757,0.9068181818181819,0.9067182774495111,17323.85794901848
