dataset,num_classes,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
Car,4,0.5833333730697632,0.5859171075837744,0.5666667222976685,0.5657207207207208,0.5666667222976685,0.5234068627450981,0.5,0.4976289109622443
Car,4,0.5166667103767395,0.5255803422470089,0.5,0.5093337590464028,0.5666667222976685,0.5609206989247312,0.5,0.4908126489750516
Chinatown,2,0.9854227900505066,0.9854930481065752,0.9854227900505066,0.9854930481065752,0.9795918464660645,0.9796902673492053,0.9795918464660645,0.9796902673492053
Chinatown,2,0.9883382320404053,0.9883760586456267,0.9854227900505066,0.9854930481065752,0.9737609624862671,0.9738874865918353,0.9620991349220276,0.9628168256729636
Chinatown,2,0.9737609624862671,0.9738874865918353,0.9679300785064697,0.9678764148086947,0.9883382320404053,0.9883760586456267,0.9883382320404053,0.9883760586456267
Chinatown,2,0.9795918464660645,0.9796902673492053,0.9795918464660645,0.9796902673492053,0.9620991349220276,0.9622819250770955,0.9620991349220276,0.9622819250770955
Chinatown,2,0.9883382320404053,0.9884124557862474,0.9854227900505066,0.9854930481065752,0.9358600974082947,0.9376018695675429,0.9300292134284973,0.9320773207242079
Chinatown,2,0.9883382320404053,0.9883760586456267,0.9825073480606079,0.9826186836793711,0.9795918464660645,0.9796902673492053,0.9737609624862671,0.9738874865918353
Chinatown,2,0.941690981388092,0.9431451498768717,0.941690981388092,0.9431451498768717,0.9737609624862671,0.9740448503655619,0.9620991349220276,0.961905296648056
Chinatown,2,0.9795918464660645,0.9796902673492053,0.9766764044761658,0.9767521172912532,0.9504373669624329,0.9509736062460614,0.9504373669624329,0.9509736062460614
Chinatown,2,0.9620991349220276,0.9620357629557301,0.9446064233779907,0.945655360598947,0.9825073480606079,0.9826711316014606,0.9795918464660645,0.979812661395437
Chinatown,2,0.9795918464660645,0.9796902673492053,0.9737609624862671,0.973803951014151,0.9825073480606079,0.9826186836793711,0.9766764044761658,0.9768948421352809
ChlorineConcentration,3,0.733593761920929,0.7239731993105786,0.7286458611488342,0.7205495843010933,0.7625000476837158,0.7516597371136855,0.7510417103767395,0.7428603894383269
ChlorineConcentration,3,0.7809896469116211,0.7736993294187907,0.7796875238418579,0.7723890976532284,0.7541667222976685,0.7481722963563334,0.7252604365348816,0.7073366279670383
ChlorineConcentration,3,0.7210937738418579,0.7165187795682623,0.7200521230697632,0.7157441960916577,0.741406261920929,0.7307390151234119,0.7346354722976685,0.7267805215810449
ChlorineConcentration,3,0.7471354603767395,0.7358790466230668,0.745312511920929,0.7354873862601156,0.7510417103767395,0.7408605094713355,0.7406250238418579,0.7364336605673379
ChlorineConcentration,3,0.7658854722976685,0.7571320593857235,0.7653646469116211,0.7565918835101775,0.7315104603767395,0.7224606003755446,0.7263021469116211,0.7204420490037079
ChlorineConcentration,3,0.7606770992279053,0.7514510578794528,0.7596354484558105,0.7502457181874556,0.7502604722976685,0.7436334050144761,0.3395833373069763,0.29560693905490243
ChlorineConcentration,3,0.7505208849906921,0.7449449403402352,0.749218761920929,0.7430793839759203,0.7520833611488342,0.7443224728180245,0.7416667342185974,0.7373089097679395
ChlorineConcentration,3,0.7638021111488342,0.7557024991991582,0.7638021111488342,0.7556324694598116,0.7690104842185974,0.7647838929413545,0.760937511920929,0.7556123762302529
ChlorineConcentration,3,0.7427083849906921,0.7358851932727055,0.7427083849906921,0.7358851932727055,0.7411458492279053,0.7326554489925622,0.7239583730697632,0.7180465051894837
ChlorineConcentration,3,0.7473958730697632,0.7365981775523621,0.7395833730697632,0.7315303492907195,0.7312500476837158,0.725684815729947,0.7291666865348816,0.7223498615006191
CinCECGTorso,4,0.7028985619544983,0.7067510943278258,0.6963768601417542,0.7024405633545272,0.6637681126594543,0.6599096018172201,0.6579710245132446,0.6538004107539153
