dataset,num_classes,num_train_samples,num_test_samples,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_train_samples,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
ArrowHead,3,36,175,0.9142857142857143,0.9133299396968343,0.76,0.7598242530565568,66,0.8457142857142858,0.8457046438870147,0.6971428571428572,0.6963568049736452
ArrowHead,3,36,175,0.8971428571428571,0.8961623047325066,0.8628571428571429,0.8626585582702088,67,0.8628571428571429,0.8623608735709744,0.7142857142857143,0.7076436396069424
ArrowHead,3,36,175,0.8914285714285715,0.8910996134421239,0.8057142857142857,0.8068126750700281,68,0.8742857142857143,0.8745445184108804,0.7428571428571429,0.7389838498519413
ArrowHead,3,36,175,0.9142857142857143,0.9140393943446455,0.8342857142857143,0.8325560322899569,66,0.8685714285714285,0.8685416984505129,0.7028571428571428,0.6975513880938907
ArrowHead,3,36,175,0.8857142857142857,0.8851717472293165,0.8057142857142857,0.8067781980855893,61,0.88,0.8786401127217455,0.76,0.7545110336817653
ArrowHead,3,36,175,0.9028571428571428,0.9028524883637664,0.7657142857142857,0.7642728186926945,67,0.8685714285714285,0.8696866436315978,0.7485714285714286,0.7495048843616933
ArrowHead,3,36,175,0.9028571428571428,0.901918300561495,0.8514285714285714,0.8509551935565663,67,0.8628571428571429,0.8622761962783481,0.7428571428571429,0.7427743658210948
ArrowHead,3,36,175,0.9028571428571428,0.9011427928877113,0.8514285714285714,0.8537282044939187,65,0.8285714285714286,0.8284783632815129,0.7485714285714286,0.743599036442823
Beef,5,30,30,0.9333333333333333,0.9350649350649349,0.8333333333333334,0.8337595737595738,54,0.9,0.9017316017316016,0.8,0.7941391941391942
Beef,5,30,30,0.9333333333333333,0.9328671328671329,0.5,0.46242424242424235,53,0.9666666666666667,0.9664335664335665,0.8333333333333334,0.8281651681651682
Beef,5,30,30,0.9333333333333333,0.9328671328671329,0.8,0.7990675990675992,54,0.9333333333333333,0.9331002331002332,0.8666666666666667,0.872121212121212
Beef,5,30,30,0.9333333333333333,0.9328671328671329,0.8666666666666667,0.8683982683982683,51,0.9,0.9017316017316016,0.8,0.7987878787878788
Beef,5,30,30,0.9,0.8995337995337994,0.8333333333333334,0.8337595737595738,48,0.9333333333333333,0.9331002331002332,0.9333333333333333,0.9331002331002332
Beef,5,30,30,0.9,0.8997668997668998,0.7666666666666667,0.7654545454545455,53,0.9666666666666667,0.9664335664335665,0.7666666666666667,0.7597402597402597
Beef,5,30,30,0.9,0.8978621378621379,0.8,0.7987012987012986,49,0.9,0.8995337995337994,0.7333333333333333,0.7247619047619047
Beef,5,30,30,0.9333333333333333,0.9328671328671329,0.7666666666666667,0.7685314685314686,50,0.9,0.8958974358974359,0.7666666666666667,0.7694305694305694
