dataset;baseline;FAA;LA;TTSGAN;Time-DDPM;VaDE;ASCENSION;ResNetemb
HouseTwenty;0.957983193277311;0.9327731092436976;0.957983193277311;0.5798319327731093;0.8;0.9663865546218487;0.9411764705882352;0.9747899159663864
InlineSkate;0.3909090909090909;0.1818181818181818;0.3309090909090909;0.2436363636363636;0.7623188405797101;0.36;0.4036363636363636;0.4218181818181818
InsectEPGRegularTrain;1.0;1.0;1.0;1.0;0.9708454810495628;1.0;1.0;1.0
InsectEPGSmallTrain;1.0;1.0;1.0;1.0;0.9722222222222222;1.0;1.0;1.0
InsectWingbeatSound;0.5035353535353535;0.4005050505050505;0.4484848484848485;0.5080808080808081;0.8140625;0.457070707070707;0.5313131313131313;0.5373737373737374
ItalyPowerDemand;0.9650145772594751;0.957240038872692;0.9494655004859086;0.9416909620991254;0.7857142857142857;0.9640427599611272;0.9601554907677357;0.9698736637512148
LargeKitchenAppliances;0.856;0.8666666666666667;0.8;0.8453333333333334;0.676;0.8506666666666667;0.848;0.8186666666666667
Lightning2;0.7868852459016393;0.639344262295082;0.7704918032786885;0.7868852459016393;0.6307692307692307;0.7704918032786885;0.8032786885245902;0.7868852459016393
Lightning7;0.6986301369863014;0.547945205479452;0.6575342465753424;0.6575342465753424;0.6564102564102564;0.6164383561643836;0.684931506849315;0.7397260273972602
Mallat;0.9189765458422174;0.7309168443496802;0.9036247334754798;0.9108742004264392;0.6564102564102564;0.5176972281449893;0.9445628997867804;0.971002132196162
Meat;0.9333333333333332;0.35;0.8833333333333333;0.8833333333333333;0.7589880952380952;0.9333333333333332;0.9333333333333332;0.95
MedicalImages;0.7421052631578947;0.6157894736842106;0.7236842105263158;0.7526315789473684;0.9117647058823528;0.7486842105263158;0.7486842105263158;0.756578947368421
MiddlePhalanxOutlineAgeGroup;0.6363636363636364;0.6623376623376623;0.6298701298701299;0.6623376623376623;0.5579710144927537;0.6493506493506493;0.6493506493506493;0.6558441558441559
MiddlePhalanxOutlineCorrect;0.8213058419243986;0.7938144329896907;0.8109965635738832;0.8109965635738832;0.7841726618705036;0.8006872852233677;0.8041237113402062;0.8281786941580757
MiddlePhalanxTW;0.6038961038961039;0.6038961038961039;0.5974025974025974;0.6103896103896104;0.91;0.6233766233766234;0.6233766233766234;0.6233766233766234
MixedShapesRegularTrain;0.9129896907216496;0.9369072164948452;0.8907216494845361;0.848659793814433;0.9393333333333334;0.9468041237113402;0.9435051546391752;0.945979381443299
MixedShapesSmallTrain;0.8738144329896907;0.8296907216494845;0.8276288659793815;0.7492783505154639;0.8083623693379791;0.8746391752577319;0.8857731958762887;0.8758762886597938
MoteStrain;0.8809904153354633;0.8809904153354633;0.8793929712460063;0.889776357827476;0.5276243093922652;0.8722044728434505;0.9049520766773164;0.8921725239616614
NonInvasiveFetalECGThorax1;0.8229007633587786;0.6239185750636133;0.7969465648854962;0.8463104325699745;0.3508287292817679;0.5847328244274809;0.9155216284987278;0.9145038167938933
NonInvasiveFetalECGThorax2;0.8687022900763359;0.4615776081424936;0.805089058524173;0.9201017811704836;0.482;0.6987277353689567;0.8402035623409669;0.8651399491094147
OSULeaf;0.7768595041322314;0.6983471074380165;0.6735537190082644;0.7231404958677686;0.6681318681318681;0.7272727272727273;0.743801652892562;0.8140495867768595
OliveOil;0.8;0.4;0.7666666666666667;0.8333333333333334;0.940828402366864;0.8666666666666667;0.8;0.8333333333333334
PhalangesOutlinesCorrect;0.8065268065268065;0.8111888111888111;0.8205128205128205;0.8368298368298368;0.9022727272727272;0.8391608391608392;0.8298368298368298;0.8298368298368298
Plane;1.0;1.0;1.0;1.0;0.9856140350877192;1.0;1.0;1.0
PowerCons;0.9333333333333332;0.9055555555555556;0.9166666666666666;0.95;0.8428070175438597;0.9444444444444444;0.95;0.9555555555555556
ProximalPhalanxOutlineAgeGroup;0.8634146341463415;0.8439024390243902;0.8634146341463415;0.8780487804878049;0.1397849462365591;0.8780487804878049;0.8780487804878049;0.8975609756097561
ProximalPhalanxOutlineCorrect;0.8797250859106529;0.8694158075601375;0.8762886597938144;0.9003436426116839;0.7076923076923077;0.9140893470790378;0.8969072164948454;0.9175257731958762
ProximalPhalanxTW;0.8390243902439024;0.7951219512195122;0.8195121951219512;0.8292682926829268;0.3076923076923077;0.8292682926829268;0.824390243902439;0.8390243902439024
RefrigerationDevices;0.584;0.5386666666666666;0.576;0.5813333333333334;0.5076923076923077;0.5733333333333334;0.5733333333333334;0.6026666666666667
Rock;0.5;0.4;0.44;0.42;0.5;0.5;0.6;0.64
ScreenType;0.5146666666666667;0.568;0.504;0.4986666666666666;0.3924050632911392;0.512;0.512;0.5493333333333333
SemgHandGenderCh2;0.7216666666666667;0.7633333333333333;0.725;0.65;0.9133333333333332;0.735;0.7533333333333333;0.7516666666666667
SemgHandMovementCh2;0.3933333333333333;0.4866666666666667;0.4155555555555555;0.3577777777777777;0.8670886075949367;0.36;0.42;0.42
SemgHandSubjectCh2;0.4666666666666667;0.5622222222222222;0.4866666666666667;0.36;1.0;0.48;0.46;0.4666666666666667
ShapeletSim;1.0;0.9055555555555556;1.0;1.0;0.609375;1.0;0.9833333333333332;1.0
ShapesAll;0.73;0.5816666666666667;0.6466666666666666;0.5966666666666667;0.9327731092436976;0.07;0.7833333333333333;0.7866666666666666
SmallKitchenAppliances;0.712;0.8293333333333334;0.6986666666666667;0.712;0.3709090909090909;0.672;0.672;0.7173333333333334
SmoothSubspace;1.0;0.9666666666666668;0.98;1.0;1.0;0.9866666666666668;1.0;1.0
SonyAIBORobotSurface1;0.9284525790349416;0.9201331114808652;0.9550748752079868;0.9584026622296172;1.0;0.9317803660565724;0.9267886855241264;0.9367720465890182
SonyAIBORobotSurface2;0.8740818467995802;0.924449108079748;0.8614900314795383;0.8646379853095488;0.3202020202020202;0.8856243441762854;0.8845750262329486;0.8898216159496327
StarLightCurves;0.9519184069936862;0.9521612433220008;0.9412336085478388;0.9528897523069452;0.967930029154519;0.9706168042739194;0.950097134531326;0.9448761534725596
Strawberry;0.9702702702702702;0.9324324324324323;0.9567567567567568;0.9783783783783784;0.7973333333333333;0.9783783783783784;0.981081081081081;0.981081081081081
SwedishLeaf;0.9376;0.9184;0.8736;0.9248;0.7377049180327869;0.9232;0.9328;0.9376
Symbols;0.8442211055276382;0.9085427135678392;0.8753768844221106;0.7979899497487437;0.3698630136986301;0.785929648241206;0.8904522613065327;0.9015075376884422
SyntheticControl;0.9866666666666668;0.98;0.9833333333333332;0.9933333333333332;0.9415778251599148;0.99;0.9933333333333332;0.9966666666666668
ToeSegmentation1;0.9078947368421052;0.9605263157894736;0.8421052631578947;0.8947368421052632;0.7618421052631579;0.9210526315789472;0.925438596491228;0.9342105263157896
ToeSegmentation2;0.8615384615384616;0.8538461538461538;0.8846153846153846;0.8692307692307693;0.97539975399754;0.9;0.8923076923076924;0.9
Trace;1.0;1.0;0.98;1.0;0.8041237113402062;1.0;1.0;1.0
TwoLeadECG;0.8481123792800702;1.0;0.8858647936786654;0.9025460930640912;0.6103896103896104;0.8753292361720808;0.8305531167690957;0.9095697980684812
TwoPatterns;0.87025;0.8925;0.85425;0.88125;0.934020618556701;0.90775;0.9025;0.9095
UMD;0.7916666666666666;0.9930555555555556;0.7638888888888888;0.7986111111111112;0.8367010309278351;0.7430555555555556;0.7916666666666666;0.7916666666666666
UWaveGestureLibraryAll;0.8961474036850922;0.6415410385259631;0.861250697934115;0.8668341708542714;0.9145038167938933;0.9352317141261864;0.9363484087102176;0.929927414852038
UWaveGestureLibraryX;0.7479061976549414;0.6993299832495813;0.7261306532663316;0.7509771077610273;0.934351145038168;0.7696817420435511;0.7699609156895589;0.774427694025684
UWaveGestureLibraryY;0.6404243439419319;0.5388051367950866;0.6197654941373534;0.6527079843662759;0.7666666666666667;0.6714126186487995;0.6613623673925182;0.6627582356225572
UWaveGestureLibraryZ;0.6591289782244556;0.6334450027917364;0.6423785594639866;0.6831379117811278;0.7479338842975206;0.6744835287548855;0.6839754327191513;0.6926298157453936
Wafer;0.996268656716418;0.9941596365996106;0.9941596365996106;0.9938351719662556;0.7;0.995295262816353;0.9972420506164827;0.9954574951330304
Wine;0.7037037037037037;0.7222222222222222;0.7777777777777778;0.6851851851851852;0.1875;0.7407407407407407;0.7962962962962963;0.8518518518518519
WordSynonyms;0.5047021943573667;0.329153605015674;0.5047021943573667;0.5109717868338558;0.3035381750465549;0.3369905956112852;0.5407523510971787;0.5815047021943573
Worms;0.6753246753246753;0.6623376623376623;0.6493506493506493;0.6623376623376623;0.2548076923076923;0.7142857142857143;0.7792207792207793;0.7662337662337663
WormsTwoClass;0.7532467532467533;0.7792207792207793;0.7792207792207793;0.7792207792207793;0.9055555555555556;0.8051948051948052;0.7922077922077922;0.8181818181818182
Yoga;0.7956666666666666;0.6786666666666666;0.7866666666666666;0.7646666666666667;0.8780487804878049;0.8206666666666667;0.8336666666666667;0.8333333333333334
