dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,vae_augmented_best_acc,vae_augmented_best_f1,vae_augmented_augmented_best_acc,vae_augmented_augmented_best_f1,vae_augmented_augmented_augmented_best_acc,vae_augmented_augmented_augmented_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,classifier_augmented_augmented_best_acc,classifier_augmented_augmented_best_f1,classifier_augmented_augmented_augmented_best_acc,classifier_augmented_augmented_augmented_best_f1
HandOutlines,2,1000,370,0.918918918918919,0.9183347199365728,0.9081081081081082,0.9074460159281158,0.9054054054054054,0.905482554554935,0.9054054054054054,0.9056316278867365,0.9081081081081082,0.9076221413721414,0.9135135135135135,0.9119569608948052,0.9162162162162162,0.9153592403804653,0.9162162162162162,0.9156936562341969
Haptics,5,155,308,0.4935064935064935,0.4736862926988977,0.4675324675324675,0.4560230729626692,0.4837662337662338,0.4611889922423196,0.4805194805194805,0.4613579731048598,0.4577922077922078,0.43162486533189637,0.5,0.48231636287018015,0.4772727272727273,0.4385746716735192,0.4935064935064935,0.4716903692792948
GunPointOldVersusYoung,2,136,315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HouseTwenty,2,40,119,0.7899159663865546,0.7912606476343471,0.7647058823529411,0.7647058823529411,0.7983193277310925,0.7995834231128349,0.7899159663865546,0.7911749418323367,0.9411764705882353,0.9410909774853913,0.9663865546218487,0.9662836563196706,0.9663865546218487,0.9662836563196706,0.9663865546218487,0.9663865546218487
Herring,2,64,64,0.734375,0.7312871351072074,0.71875,0.7167307692307693,0.75,0.75,0.734375,0.7361612702366127,0.640625,0.5731060606060606,0.59375,0.490391156462585,0.59375,0.4424019607843137,0.609375,0.4768747708104144
InsectEPGSmallTrain,3,17,249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectEPGRegularTrain,3,62,249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,11,220,1980,0.6131313131313131,0.6138273095440642,0.6141414141414141,0.6137450894727874,0.6146464646464647,0.6146853839010243,0.6202020202020202,0.6182195750573046,0.5252525252525253,0.516589690336127,0.4888888888888889,0.4864617590120905,0.5080808080808081,0.5001500899819628,0.49646464646464644,0.49361552778624906
InlineSkate,7,100,550,0.3236363636363636,0.3316888268214034,0.3290909090909091,0.3317923595542514,0.34,0.34411305475500364,0.33636363636363636,0.33818342558007025,0.4072727272727273,0.40039816744598405,0.38727272727272727,0.36361744094635057,0.38545454545454544,0.37154664096708767,0.39090909090909093,0.36269481590975833
ItalyPowerDemand,2,67,1029,0.9727891156462585,0.9727891156462585,0.9718172983479106,0.9718171918800745,0.9718172983479106,0.9718165530730575,0.9727891156462585,0.9727891156462585,0.9650145772594753,0.9650116692977846,0.9630709426627794,0.9630664079462158,0.9650145772594753,0.9650067112967146,0.9640427599611273,0.9640375292983782
LargeKitchenAppliances,3,375,375,0.472,0.47123745819398,0.49866666666666665,0.49448246926386885,0.4693333333333333,0.46576123072833603,0.4693333333333333,0.46896315891818136,0.8293333333333334,0.8276226233354848,0.8426666666666667,0.8418224594579812,0.848,0.8459958428939817,0.8373333333333334,0.8345617916102498
Lightning7,7,70,73,0.7397260273972602,0.7227094021614568,0.726027397260274,0.7096468779958326,0.726027397260274,0.7146690449237207,0.7534246575342466,0.722874537943031,0.7397260273972602,0.7393957080330548,0.7123287671232876,0.7081238820646275,0.7397260273972602,0.7372997519149477,0.6986301369863014,0.6984081877392433
Lightning2,2,60,61,0.7868852459016393,0.785486625694267,0.7540983606557377,0.748323762471528,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7662841530054646,0.8032786885245902,0.8013330931363719,0.7377049180327869,0.7377049180327869,0.7704918032786885,0.7637719686900015,0.7704918032786885,0.7682219419924338
Mallat,8,55,2345,0.9185501066098081,0.9189273628559382,0.9343283582089552,0.9344757652623121,0.8997867803837953,0.8989058793102733,0.8746268656716418,0.8739001209262389,0.9479744136460554,0.947807698488603,0.9727078891257995,0.9727181595070473,0.9658848614072495,0.9659238328654164,0.9646055437100213,0.9645937525928531
Meat,3,60,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9499389499389499,0.9333333333333333,0.9337294142172191,0.9333333333333333,0.9337294142172191,0.9333333333333333,0.9337294142172191
MedicalImages,10,381,760,0.7131578947368421,0.7220328832712617,0.7197368421052631,0.722241793131828,0.7302631578947368,0.7270309619807784,0.7342105263157894,0.7355304848737768,0.7394736842105263,0.7305092819393861,0.7302631578947368,0.7230042183006088,0.7473684210526316,0.7392279157035432,0.7355263157894737,0.7192827618371701
MiddlePhalanxOutlineAgeGroup,3,400,154,0.5909090909090909,0.574790108881018,0.5714285714285714,0.5645585992954414,0.5974025974025974,0.5710544569067296,0.5584415584415584,0.540403304193215,0.6558441558441559,0.5933151059466849,0.6233766233766234,0.5319243654697797,0.6428571428571429,0.5996513822386915,0.6493506493506493,0.5753129151807566
MiddlePhalanxOutlineCorrect,2,600,291,0.8762886597938144,0.8749031511207124,0.8316151202749141,0.8277534387333217,0.8213058419243986,0.8169860582231716,0.8247422680412371,0.8240274253310371,0.8213058419243986,0.8196207912028568,0.7628865979381443,0.7473114252956212,0.7731958762886598,0.7671299196901521,0.7869415807560137,0.7837309672249161
MiddlePhalanxTW,6,399,154,0.5714285714285714,0.5627610208174992,0.6038961038961039,0.5827843204991839,0.5454545454545454,0.5418548207741221,0.577922077922078,0.5720819826575526,0.6168831168831169,0.5765121848812272,0.6168831168831169,0.5808864036468525,0.5909090909090909,0.5683721845455459,0.5714285714285714,0.48231418704554235
MixedShapesRegularTrain,5,500,2425,0.9237113402061856,0.923547068379044,0.9183505154639175,0.9179734472392155,0.9187628865979381,0.918349251335849,0.9257731958762887,0.9255404680484522,0.9360824742268041,0.9359298571406697,0.9439175257731959,0.9438044530110065,0.942680412371134,0.94257597555642,0.9385567010309278,0.938409150624812
MixedShapesSmallTrain,5,100,2425,0.8618556701030928,0.862144219058265,0.8564948453608248,0.8566288188097871,0.8531958762886598,0.8540530032931344,0.8548453608247423,0.8551230967368344,0.8837113402061856,0.8843000180017645,0.8804123711340206,0.880388989263007,0.8870103092783506,0.8865762191002609,0.8771134020618556,0.8763165419251977
