dataset,num_classes,num_train_samples,num_test_samples,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_train_samples,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
Adiac,37,390,391,0.7621483206748962,0.7507255775370554,0.7570332288742065,0.7432634167967047,454,0.7519181370735168,0.7477634411114118,0.7340153455734253,0.7285625261914547
Adiac,37,390,391,0.7340153455734253,0.7340910542493821,0.7263426780700684,0.7257722880585041,459,0.7340153455734253,0.7285814539435299,0.7237851619720459,0.7194976345957746
BeetleFly,2,20,20,0.8500000238418579,0.846547314578005,0.8500000238418579,0.846547314578005,40,0.8500000238418579,0.846547314578005,0.800000011920929,0.8
BeetleFly,2,20,20,0.800000011920929,0.7979797979797979,0.800000011920929,0.7979797979797979,40,0.9000000357627869,0.898989898989899,0.8500000238418579,0.849624060150376
BeetleFly,2,20,20,0.800000011920929,0.7979797979797979,0.699999988079071,0.696969696969697,40,0.9000000357627869,0.898989898989899,0.9000000357627869,0.898989898989899
BeetleFly,2,20,20,0.75,0.7442455242966752,0.699999988079071,0.6875,40,0.800000011920929,0.7979797979797979,0.800000011920929,0.7979797979797979
BeetleFly,2,20,20,0.800000011920929,0.7979797979797979,0.699999988079071,0.6875,40,0.949999988079071,0.949874686716792,0.949999988079071,0.949874686716792
BeetleFly,2,20,20,0.8500000238418579,0.849624060150376,0.8500000238418579,0.849624060150376,40,0.8500000238418579,0.846547314578005,0.8500000238418579,0.846547314578005
BeetleFly,2,20,20,0.800000011920929,0.7979797979797979,0.75,0.7442455242966752,40,0.8500000238418579,0.849624060150376,0.8500000238418579,0.849624060150376
BeetleFly,2,20,20,0.8500000238418579,0.849624060150376,0.699999988079071,0.696969696969697,40,0.9000000357627869,0.898989898989899,0.9000000357627869,0.9
BeetleFly,2,20,20,0.800000011920929,0.7916666666666667,0.800000011920929,0.7979797979797979,40,0.800000011920929,0.7916666666666667,0.699999988079071,0.6875
BeetleFly,2,20,20,0.75,0.7493734335839599,0.699999988079071,0.6875,40,0.75,0.7442455242966752,0.699999988079071,0.6875
ArrowHead,3,36,175,0.6628571152687073,0.6642692150399263,0.6285714507102966,0.6324374528356649,67,0.5600000023841858,0.5572142489735559,0.5542857050895691,0.5487062754926532
ArrowHead,3,36,175,0.6571428775787354,0.657884632008884,0.6514285802841187,0.6520763180180967,68,0.6742857098579407,0.6693501688445163,0.6742857098579407,0.6693501688445163
ArrowHead,3,36,175,0.6285714507102966,0.626727737396372,0.6171428561210632,0.6130644119119509,68,0.6342856884002686,0.6338043573740959,0.6342856884002686,0.6296826436416492
ArrowHead,3,36,175,0.668571412563324,0.6674304797826721,0.6514285802841187,0.6514584692324419,68,0.5828571319580078,0.5820472597171626,0.5771428346633911,0.5744599591187827
ArrowHead,3,36,175,0.6399999856948853,0.6456901621605261,0.6399999856948853,0.6456901621605261,68,0.6514285802841187,0.6424283200582278,0.6114285588264465,0.5978373434885144
ArrowHead,3,36,175,0.6514285802841187,0.6536540331546934,0.6514285802841187,0.6584940301902854,69,0.5942857265472412,0.5741549410260745,0.5771428346633911,0.5510286032099159
ArrowHead,3,36,175,0.691428542137146,0.6932115430074614,0.6742857098579407,0.6775353468970491,68,0.6228571534156799,0.6135154380085072,0.6057142615318298,0.5962733368111803
ArrowHead,3,36,175,0.6742857098579407,0.6795504665114173,0.6399999856948853,0.6436708282215968,70,0.6285714507102966,0.6194745117913486,0.6057142615318298,0.5974711450137785
ArrowHead,3,36,175,0.6171428561210632,0.6200715527557632,0.5999999642372131,0.6048561359945797,66,0.645714282989502,0.6380531395210294,0.6285714507102966,0.6177152565409447
ArrowHead,3,36,175,0.6742857098579407,0.6815962549524713,0.6514285802841187,0.656612488533787,67,0.6800000071525574,0.68328578716788,0.6571428775787354,0.6567780650939716
Beef,5,30,30,0.4333333671092987,0.42014939309056953,0.3333333432674408,0.32742424242424245,52,0.5666667222976685,0.5160597572362279,0.5333333611488342,0.5034188034188034
Beef,5,30,30,0.5,0.4801682527998318,0.4333333671092987,0.3730842257158047,53,0.5666667222976685,0.537937062937063,0.46666669845581055,0.4116239316239316
Beef,5,30,30,0.5,0.4729004329004329,0.5,0.4729004329004329,51,0.6333333849906921,0.6025974025974026,0.5666667222976685,0.5275171886936593
Beef,5,30,30,0.46666669845581055,0.46638694638694633,0.46666669845581055,0.45500721500721497,50,0.6000000238418579,0.5655011655011656,0.5666667222976685,0.5395054945054945
Beef,5,30,30,0.46666669845581055,0.45783549783549776,0.46666669845581055,0.4514718614718614,54,0.6333333849906921,0.6281746031746032,0.6000000238418579,0.585952380952381
Beef,5,30,30,0.46666669845581055,0.42226244343891406,0.3333333432674408,0.3222222222222222,51,0.6000000238418579,0.552832674571805,0.6000000238418579,0.568974358974359
Beef,5,30,30,0.40000003576278687,0.38397333660491556,0.3333333432674408,0.32103174603174606,53,0.6666666865348816,0.6528749028749029,0.6666666865348816,0.6528749028749029
Beef,5,30,30,0.4333333671092987,0.39268726442639484,0.4333333671092987,0.41444444444444445,51,0.5,0.4840884261936893,0.46666669845581055,0.42345864661654137
Beef,5,30,30,0.4333333671092987,0.4363398692810457,0.40000003576278687,0.35076023391812866,55,0.6000000238418579,0.5719434951013898,0.5333333611488342,0.4811965811965812
Beef,5,30,30,0.5333333611488342,0.49926284242073715,0.5333333611488342,0.49926284242073715,56,0.5666667222976685,0.5589543789543789,0.5333333611488342,0.5
BirdChicken,2,20,20,0.75,0.7333333333333333,0.75,0.7333333333333333,40,0.699999988079071,0.6875,0.6500000357627869,0.6419437340153452
BirdChicken,2,20,20,0.75,0.7493734335839599,0.699999988079071,0.6875,40,0.75,0.7333333333333333,0.75,0.7333333333333333
BirdChicken,2,20,20,0.75,0.7333333333333333,0.75,0.7333333333333333,40,0.6500000357627869,0.6011396011396011,0.6500000357627869,0.6419437340153452
BirdChicken,2,20,20,0.75,0.7333333333333333,0.699999988079071,0.6703296703296703,39,0.800000011920929,0.7979797979797979,0.800000011920929,0.7979797979797979
BirdChicken,2,20,20,0.699999988079071,0.6875,0.699999988079071,0.6703296703296703,40,0.800000011920929,0.7979797979797979,0.75,0.7493734335839599
BirdChicken,2,20,20,0.75,0.7333333333333333,0.699999988079071,0.6703296703296703,40,0.8500000238418579,0.846547314578005,0.800000011920929,0.7916666666666667
BirdChicken,2,20,20,0.75,0.7333333333333333,0.75,0.7333333333333333,40,0.9000000357627869,0.9,0.800000011920929,0.7979797979797979
BirdChicken,2,20,20,0.75,0.7493734335839599,0.6500000357627869,0.6266666666666666,40,0.75,0.7442455242966752,0.699999988079071,0.696969696969697
BirdChicken,2,20,20,0.75,0.7333333333333333,0.75,0.7333333333333333,39,0.6500000357627869,0.6419437340153452,0.6000000238418579,0.5959595959595959
BirdChicken,2,20,20,0.75,0.7333333333333333,0.699999988079071,0.6703296703296703,39,0.699999988079071,0.6875,0.699999988079071,0.696969696969697
BME,3,30,150,0.846666693687439,0.8481481481481482,0.8266667127609253,0.8276011480929514,60,0.8333333730697632,0.8321238110946177,0.7200000286102295,0.7145735435974325
BME,3,30,150,0.7599999904632568,0.7581605105555498,0.7133333683013916,0.711111111111111,59,0.8600000143051147,0.8601999682375561,0.8600000143051147,0.8601999682375561
BME,3,30,150,0.8400000333786011,0.8386495876335703,0.8199999928474426,0.8178148246336929,58,0.7599999904632568,0.7571291475652124,0.7200000286102295,0.7185522606314686
BME,3,30,150,0.8533333539962769,0.8536195909652019,0.846666693687439,0.8458896072459745,60,0.7599999904632568,0.754244458465644,0.7266666889190674,0.7205762987012988
BME,3,30,150,0.8733333349227905,0.8711397987625941,0.846666693687439,0.8440735365263666,60,0.8266667127609253,0.8241590026985324,0.8066666722297668,0.8030597908030906
BME,3,30,150,0.7933333516120911,0.7865409411627898,0.7800000309944153,0.7746784651088074,60,0.8266667127609253,0.8216764368977831,0.800000011920929,0.7917841639011091
BME,3,30,150,0.8400000333786011,0.838864522417154,0.8199999928474426,0.819535044110463,60,0.8533333539962769,0.8518518518518519,0.8266667127609253,0.8234206701710063
BME,3,30,150,0.8199999928474426,0.8186209925340361,0.8066666722297668,0.8061862380044198,60,0.8333333730697632,0.8332513741817744,0.8333333730697632,0.8332513741817744
BME,3,30,150,0.7599999904632568,0.7523791867507108,0.7333333492279053,0.7257846320346321,60,0.846666693687439,0.8468981140314964,0.8400000333786011,0.838887525729631
BME,3,30,150,0.8199999928474426,0.8176466483027017,0.8066666722297668,0.8043210449747733,59,0.7733333706855774,0.7665085370003403,0.7599999904632568,0.7508643268727082
CBF,3,30,900,0.9622222185134888,0.9621189195263926,0.9611111283302307,0.961020773538902,58,0.9366666674613953,0.9366575551392993,0.9311111569404602,0.9311522932443027
CBF,3,30,900,0.9577777981758118,0.9577393200432401,0.9522222280502319,0.9521436958510665,60,0.9233333468437195,0.9232267795455652,0.9211111068725586,0.920953897985391
CBF,3,30,900,0.9533333778381348,0.953297881037853,0.945555567741394,0.9455708114265329,60,0.945555567741394,0.9455642768705185,0.9355555772781372,0.9354555514575295
CBF,3,30,900,0.9600000381469727,0.9599508065836946,0.9588888883590698,0.9588438066320396,59,0.9388889074325562,0.9384640991505583,0.9133333563804626,0.9125804454878746
CBF,3,30,900,0.944444477558136,0.9443383100527485,0.941111147403717,0.9409460574164819,59,0.893333375453949,0.8928773993162106,0.8844444751739502,0.8838435144081107
CBF,3,30,900,0.9655556082725525,0.9655180321222234,0.9566667079925537,0.956667119467342,60,0.9344444870948792,0.9344859096597997,0.9322222471237183,0.9320964321703804
CBF,3,30,900,0.9688889384269714,0.9688660738205734,0.9677777886390686,0.9677742529253863,58,0.8955555558204651,0.8943769600361492,0.8877778053283691,0.8866185621791861
CBF,3,30,900,0.9666666984558105,0.9665806695275437,0.9566667079925537,0.9565804618874889,59,0.9177777767181396,0.9172386488136516,0.9144444465637207,0.9135880364328108
CBF,3,30,900,0.9700000286102295,0.9699824910226502,0.9688889384269714,0.9688552362757693,59,0.941111147403717,0.9413740065053556,0.9255555868148804,0.9259703500039758
CBF,3,30,900,0.9544444680213928,0.9543714588112829,0.9533333778381348,0.9532661155458398,60,0.8644444942474365,0.8645889351756358,0.8566666841506958,0.8571053540654622
Car,4,60,60,0.550000011920929,0.547765006385696,0.5166667103767395,0.4979840067340068,112,0.4833333492279053,0.47847701149425287,0.4833333492279053,0.47515429277231297
Car,4,60,60,0.5666667222976685,0.5565938892025849,0.4833333492279053,0.48703703703703705,116,0.4833333492279053,0.4245098039215686,0.4833333492279053,0.4563961566888396
Car,4,60,60,0.5166667103767395,0.5334444444444445,0.5,0.49933209071140106,115,0.5833333730697632,0.5778777226357871,0.5666667222976685,0.54847414234511
Car,4,60,60,0.5333333611488342,0.523557734204793,0.5166667103767395,0.5044795783926219,111,0.5166667103767395,0.5212230362230363,0.46666669845581055,0.47530525030525017
Car,4,60,60,0.5166667103767395,0.5140987654320989,0.5166667103767395,0.5180846186593313,110,0.5333333611488342,0.5218287037037037,0.4833333492279053,0.4803703703703704
Car,4,60,60,0.6166666746139526,0.6192123412232108,0.550000011920929,0.5556202553485162,116,0.4333333671092987,0.4089057239057239,0.4166666865348816,0.3955723905723906
Car,4,60,60,0.5333333611488342,0.5526794917958711,0.46666669845581055,0.4935265068990559,112,0.550000011920929,0.5486164325244786,0.550000011920929,0.5462222222222223
Car,4,60,60,0.46666669845581055,0.4908225108225108,0.4333333671092987,0.45333485958485953,111,0.4166666865348816,0.42492244157056913,0.4166666865348816,0.4208658008658009
