dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time,alpha
PigArtPressure,52,104,208,0.11538462340831757,0.07971713874723908,0.6875,0.6429466900620746,0.11057692766189575,0.058932433932433935,0.7548076923076923,0.7182650682650683,0.12980769574642181,0.08754026390147797,0.6971153846153846,0.6578030156977525,0.07692307978868484,0.03701384085999471,0.6153846153846154,0.542597130582365,0.125,0.10982377837216548,0.625,0.5483818812766181,0.08653846383094788,0.04653832278832278,0.5096153846153846,0.43017826190903113,0.11538462340831757,0.08573393230160514,0.5961538461538461,0.5317006458453828,1113.1607568264008,1.5999999999999999
PigArtPressure,52,104,208,0.11538462340831757,0.07971713874723908,0.6923076923076923,0.6500660664122203,0.1538461595773697,0.11469566758028296,0.7355769230769231,0.6880397380397381,0.12980769574642181,0.11241172491172491,0.5240384615384616,0.44643703565108256,0.13461539149284363,0.10616189366189367,0.6971153846153846,0.6588290729738098,0.13461539149284363,0.11304592843054381,0.7788461538461539,0.7492882117882117,0.13942308723926544,0.10796960120834566,0.6057692307692307,0.5463354487392948,0.13461539149284363,0.09973349618872006,0.7355769230769231,0.6934027510950587,1103.644451379776,1.7999999999999998
PigArtPressure,52,104,208,0.11538462340831757,0.07971713874723908,0.8221153846153846,0.7977980352980352,0.16346155107021332,0.13449241098532594,0.7932692307692307,0.7494755244755246,0.13461539149284363,0.08793837741206162,0.7884615384615384,0.7544892073738226,0.13461539149284363,0.0996518095431139,0.8125,0.7848346098346097,0.11538462340831757,0.07638177040350953,0.5625,0.49559406154428776,0.09134615957736969,0.034432246790546385,0.7548076923076923,0.7256982333905412,0.13461539149284363,0.1090996860733703,0.7403846153846154,0.6999808951732027,1967.2485883235931,1.2
PigArtPressure,52,104,208,0.11538462340831757,0.07971713874723908,0.7163461538461539,0.6713848117694271,0.13461539149284363,0.09345238095238098,0.8076923076923077,0.7749753451676527,0.12019231170415878,0.059612014662324256,0.6730769230769231,0.6112789987789988,0.11057692766189575,0.07485315338256515,0.7019230769230769,0.6510697635697635,0.11538462340831757,0.0892954017835422,0.75,0.7126948905795059,0.11057692766189575,0.06514097688186757,0.8173076923076923,0.7851592851592852,0.12980769574642181,0.1018009768009768,0.7884615384615384,0.7588272838272837,1849.2375836372375,1.7999999999999998
BeetleFly,2,20,20,1.0,1.0,0.85,0.849624060150376,0.949999988079071,0.949874686716792,0.85,0.849624060150376,0.949999988079071,0.949874686716792,0.85,0.846547314578005,0.9000000357627869,0.898989898989899,0.9,0.898989898989899,0.9000000357627869,0.9,0.85,0.846547314578005,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,102.98950624465942,1.2
BeetleFly,2,20,20,1.0,1.0,0.85,0.849624060150376,0.949999988079071,0.949874686716792,0.85,0.849624060150376,0.949999988079071,0.949874686716792,0.8,0.7916666666666667,0.949999988079071,0.949874686716792,0.85,0.849624060150376,0.9000000357627869,0.9,0.8,0.7916666666666667,0.949999988079071,0.949874686716792,0.85,0.849624060150376,0.949999988079071,0.949874686716792,0.85,0.846547314578005,112.59686183929443,1.4
BeetleFly,2,20,20,1.0,1.0,0.85,0.849624060150376,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.85,0.849624060150376,1.0,1.0,0.85,0.846547314578005,1.0,1.0,0.85,0.846547314578005,0.949999988079071,0.949874686716792,0.85,0.846547314578005,1.0,1.0,0.85,0.846547314578005,105.93891048431396,1.5999999999999999
BeetleFly,2,20,20,1.0,1.0,0.85,0.849624060150376,1.0,1.0,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,0.9000000357627869,0.898989898989899,0.95,0.949874686716792,1.0,1.0,0.9,0.898989898989899,1.0,1.0,0.85,0.846547314578005,125.40929222106934,1.7999999999999998
BeetleFly,2,20,20,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.9,0.9000000357627869,0.898989898989899,0.9,0.9,0.800000011920929,0.797979797979798,0.95,0.949874686716792,0.9000000357627869,0.898989898989899,0.9,0.9,0.9000000357627869,0.898989898989899,0.85,0.849624060150376,0.8500000238418579,0.8465473145780051,0.85,0.846547314578005,161.85877656936646,1.2
BeetleFly,2,20,20,1.0,1.0,0.95,0.949874686716792,0.9000000357627869,0.898989898989899,0.9,0.9,1.0,1.0,0.9,0.9,0.949999988079071,0.949874686716792,0.9,0.9,0.949999988079071,0.949874686716792,0.9,0.9,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,157.2449984550476,1.4
BeetleFly,2,20,20,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.9,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.9,0.9,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.800000011920929,0.797979797979798,0.9,0.9,0.949999988079071,0.949874686716792,0.85,0.849624060150376,140.5690462589264,1.5999999999999999
BeetleFly,2,20,20,1.0,1.0,0.95,0.949874686716792,1.0,1.0,0.85,0.846547314578005,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.8500000238418579,0.8465473145780051,0.85,0.846547314578005,0.8500000238418579,0.8465473145780051,0.9,0.898989898989899,0.9000000357627869,0.898989898989899,0.9,0.898989898989899,0.9000000357627869,0.9,0.9,0.898989898989899,123.9363625049591,1.7999999999999998
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.6623376623376623,0.5928424629723331,0.4675324559211731,0.28269005847953216,0.6883116883116883,0.6570339991392623,0.48051947355270386,0.4076483516483516,0.6623376623376623,0.6102142013830326,0.4675324559211731,0.26087848932676516,0.6753246753246753,0.6247551540932859,0.5064935088157654,0.41958918022954367,0.6623376623376623,0.6064727480311897,0.48051947355270386,0.3922665827618097,0.6363636363636364,0.6026346547702435,0.4285714328289032,0.12,0.6233766233766234,0.5445262194393963,506.2500820159912,1.2
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.6623376623376623,0.6009021281748556,0.4675324559211731,0.3140170174652933,0.6753246753246753,0.6550259947389134,0.4935064911842346,0.44384430512016715,0.6883116883116883,0.6607792207792208,0.4935064911842346,0.4420915032679738,0.6753246753246753,0.625035138022151,0.5454545617103577,0.5212808460634548,0.6493506493506493,0.5771850961009627,0.44155845046043396,0.16554536187563712,0.6103896103896104,0.5330426716141002,0.4545454680919647,0.2065642878651009,0.6363636363636364,0.573081353288488,537.5052671432495,1.4
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.6753246753246753,0.6092529171708058,0.4545454680919647,0.4365055567454368,0.6493506493506493,0.5819570803528022,0.4545454680919647,0.2163809523809524,0.6883116883116883,0.6345453722710612,0.4545454680919647,0.16902834008097165,0.6883116883116883,0.6650718938870649,0.48051947355270386,0.23562152133580705,0.6493506493506493,0.5901538727387577,0.4935064911842346,0.4214756258234519,0.6363636363636364,0.5703425906634463,0.4545454680919647,0.22239538239538242,0.6623376623376623,0.6124766971195199,454.7774441242218,1.5999999999999999
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.6493506493506493,0.5652291958912168,0.5454545617103577,0.513194844371315,0.6883116883116883,0.6698277522633495,0.5064935088157654,0.3863504611330698,0.6883116883116883,0.6371086446274417,0.5064935088157654,0.3819535254018013,0.6883116883116883,0.634847520014984,0.5194805264472961,0.48434174521131046,0.6103896103896104,0.5027147570827171,0.5454545617103577,0.4872319688109162,0.6103896103896104,0.5059503684171617,0.5454545617103577,0.4933736418670792,0.6233766233766234,0.5935002485066506,495.0478663444519,1.7999999999999998
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.7792207792207793,0.7588646942030401,0.5584415793418884,0.4883886483886483,0.7792207792207793,0.7553500648437357,0.5064935088157654,0.45103513258850453,0.7792207792207793,0.7577716401245813,0.48051947355270386,0.3616724520749289,0.7792207792207793,0.7572760572760573,0.48051947355270386,0.3749673202614379,0.7142857142857143,0.6743618450515003,0.5454545617103577,0.5179372531485208,0.7402597402597403,0.7231016936280095,0.5064935088157654,0.4847843340234645,0.6753246753246753,0.6325490526789228,888.8861548900604,1.2
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.7792207792207793,0.7593692022263452,0.4675324559211731,0.3887789987789988,0.7792207792207793,0.7732435266596757,0.48051947355270386,0.39120646766169154,0.7792207792207793,0.7716450216450217,0.4935064911842346,0.30130548912092403,0.7532467532467533,0.731176356111421,0.48051947355270386,0.245021645021645,0.7272727272727273,0.7031048650597522,0.4935064911842346,0.449896267415449,0.7532467532467533,0.7262616511688559,0.5194805264472961,0.45260846560846557,0.7662337662337663,0.7298775298775299,990.2913193702698,1.4
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.7792207792207793,0.7577716401245813,0.4935064911842346,0.36687931951089847,0.7662337662337663,0.7541662870001186,0.4545454680919647,0.23777777777777778,0.7142857142857143,0.6775590389062527,0.4935064911842346,0.43167505431345043,0.7662337662337663,0.7488861211598886,0.5454545617103577,0.4673400673400673,0.7532467532467533,0.7204215097072239,0.5584415793418884,0.4311774834093288,0.6753246753246753,0.6299783549783551,0.4935064911842346,0.3335384354606323,0.7012987012987013,0.6625768836722183,824.0114276409149,1.5999999999999999
Worms,5,181,77,0.4545454680919647,0.24242424242424238,0.7662337662337663,0.7390548743932202,0.5324675440788269,0.42186743596960313,0.7662337662337663,0.7625484537249244,0.5714285969734192,0.5296990068754774,0.7792207792207793,0.766493920752294,0.4935064911842346,0.4338080184655527,0.7012987012987013,0.6612534020128957,0.5194805264472961,0.43795006698331507,0.7272727272727273,0.6960913490586349,0.5714285969734192,0.5341571363959423,0.7532467532467533,0.7273068773784418,0.4545454680919647,0.16902834008097165,0.6753246753246753,0.622089033718159,850.3556509017944,1.7999999999999998
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5833333333333334,0.5092490516832622,0.8166667222976685,0.816776135741653,0.6,0.5284427990310344,0.7666667103767395,0.7744871794871795,0.5333333333333333,0.46613756613756613,0.8166667222976685,0.8141218637992832,0.5666666666666667,0.527032845806199,0.7500000596046448,0.7466964285714286,0.55,0.47959033303860893,0.8666667342185974,0.872014872014872,0.5666666666666667,0.526140350877193,0.8833333849906921,0.8817334575955267,0.5666666666666667,0.5205722548061258,449.3678936958313,1.2
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5833333333333334,0.5092490516832622,0.8500000238418579,0.8428205128205128,0.5833333333333334,0.5153191489361701,0.8500000238418579,0.8552699630285838,0.5333333333333333,0.4904919204919204,0.8000000715255737,0.7984126984126985,0.55,0.5039983378408834,0.8166667222976685,0.8181216931216931,0.6,0.5292229729729729,0.7833333611488342,0.7779692470837751,0.55,0.5107427213309567,0.7833333611488342,0.7780725334842483,0.5833333333333334,0.5389458689458689,533.5923054218292,1.4
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5833333333333334,0.5092490516832622,0.8500000238418579,0.8473978288633461,0.55,0.49750816993464053,0.8500000238418579,0.8466666666666667,0.5666666666666667,0.5516596540439457,0.8000000715255737,0.8004251879963455,0.6166666666666667,0.6170707070707071,0.7833333611488342,0.7774650512581548,0.5333333333333333,0.47816771042577494,0.8500000238418579,0.8490740740740741,0.5166666666666667,0.4559259259259259,0.7833333611488342,0.7889550264550265,0.6,0.5248870822041554,408.11084389686584,1.5999999999999999
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5833333333333334,0.5092490516832622,0.8000000715255737,0.805823754789272,0.6166666666666667,0.5917630829209776,0.8333333730697632,0.8398641588296761,0.6,0.5275769566092147,0.8333333730697632,0.826007326007326,0.6333333333333333,0.5622222222222223,0.8333333730697632,0.8355655295310468,0.5666666666666667,0.5350877192982455,0.8000000715255737,0.7838021778584392,0.5666666666666667,0.5111437908496732,0.8000000715255737,0.7989010989010988,0.5833333333333334,0.532336974070845,462.87998938560486,1.7999999999999998
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5666666666666667,0.5336531986531986,0.8166667222976685,0.8252645502645503,0.5833333333333334,0.533946881373352,0.8166667222976685,0.8246031746031746,0.6,0.5577850877192981,0.8500000238418579,0.8506944444444444,0.5666666666666667,0.5206616893573415,0.8166667222976685,0.8029840848806367,0.5833333333333334,0.5335464474517561,0.8500000238418579,0.8510887260887261,0.6166666666666667,0.5400801180687328,0.8500000238418579,0.8520935960591134,0.5833333333333334,0.5576388888888888,471.4890410900116,1.2
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5666666666666667,0.5336531986531986,0.8500000238418579,0.8514894204549377,0.6,0.5968888888888889,0.8666667342185974,0.8646642468239565,0.65,0.6600451318458418,0.8333333730697632,0.834731058415269,0.6333333333333333,0.6364444444444445,0.8500000238418579,0.8493017932673106,0.65,0.6235400875413686,0.8500000238418579,0.8500068769034286,0.6,0.5773008052494719,0.8333333730697632,0.8348063973063973,0.6,0.5311398219925352,468.28081727027893,1.4
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5666666666666667,0.5336531986531986,0.8666667342185974,0.8677126798723894,0.6,0.5449461225931814,0.8166667222976685,0.8179779318617794,0.6,0.5449236517218973,0.8333333730697632,0.8356542882404951,0.6333333333333333,0.6364351851851852,0.8000000715255737,0.7963620071684588,0.5833333333333334,0.564311838682548,0.8666667342185974,0.8676564495530013,0.6,0.5542605105105106,0.8666667342185974,0.862882882882883,0.6,0.524071129953483,554.2287859916687,1.5999999999999999
Car,4,60,60,0.8833333849906921,0.8831400081400081,0.5666666666666667,0.5336531986531986,0.8500000238418579,0.8508905885403162,0.6333333333333333,0.5927631578947369,0.7833333611488342,0.7818650793650793,0.5666666666666667,0.5446464646464647,0.7833333611488342,0.7760044387437397,0.5666666666666667,0.5380003360363795,0.7833333611488342,0.7844851994851996,0.5833333333333334,0.5552723311546841,0.7833333611488342,0.7752490421455939,0.5833333333333334,0.5448333333333333,0.8333333730697632,0.8306650246305418,0.6,0.5683442265795207,475.0683898925781,1.7999999999999998
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.7916666666666666,0.788961038961039,0.8680555820465088,0.8703379953379953,0.7708333333333334,0.7706821480406387,0.7708333134651184,0.7710644027043646,0.75,0.7461901874878458,0.8125,0.8135540202371886,0.7708333333333334,0.7708128528973054,0.8263888955116272,0.8280303030303031,0.7361111111111112,0.7176929251232657,0.7777777910232544,0.7709081368823704,0.7569444444444444,0.7461884800496817,0.7986111044883728,0.7985745629423789,0.7430555555555556,0.7434515170364226,180.0470848083496,1.2
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.7916666666666666,0.7900183124902226,0.881944477558136,0.8806695949553092,0.7638888888888888,0.7595882387126572,0.875,0.8764166134961869,0.7222222222222222,0.7213695529145444,0.8333333134651184,0.8334147930922123,0.7569444444444444,0.7565998329156224,0.8680555820465088,0.8689738131287258,0.7847222222222222,0.7723202275260388,0.7291666865348816,0.7255355932924364,0.7916666666666666,0.7894618808425918,0.8472222089767456,0.8495170479247237,0.7361111111111112,0.7243312982229239,207.08203196525574,1.4
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.7847222222222222,0.7826949620427882,0.8680555820465088,0.8700716845878137,0.6875,0.674227827852254,0.8541666865348816,0.8573778190106404,0.7222222222222222,0.7142959179474757,0.8263888955116272,0.8279090269593737,0.75,0.7518587800900772,0.7986111044883728,0.8022963626411902,0.7569444444444444,0.7579077784960138,0.819444477558136,0.8234373834819438,0.7152777777777778,0.7131684157921039,0.7847222089767456,0.7869623019584568,0.7361111111111112,0.736132445809865,215.65655207633972,1.5999999999999999
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.7847222222222222,0.7824030927479204,0.8263888955116272,0.8282661599493283,0.7361111111111112,0.7284016567955717,0.8541666865348816,0.8554649643224739,0.7013888888888888,0.7011699686622287,0.875,0.877709348285688,0.7569444444444444,0.7567099567099568,0.8125,0.8104360365713082,0.7083333333333334,0.7064459671238518,0.8680555820465088,0.8692182960507514,0.6875,0.68993858608576,0.8125,0.8153463808636223,0.7222222222222222,0.7110052429925388,230.85400414466858,1.7999999999999998
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.8055555555555556,0.8041027396837735,0.875,0.8769036460474506,0.7638888888888888,0.7595703155865295,0.875,0.8756176154672395,0.7152777777777778,0.697767755008661,0.819444477558136,0.8204267386248562,0.7291666666666666,0.724773877686499,0.8680555820465088,0.8706081683609774,0.7222222222222222,0.7217661781995806,0.8541666865348816,0.8567287784679088,0.7569444444444444,0.7483785331723476,0.875,0.8752276990735082,0.7430555555555556,0.7419657741639165,229.81944513320923,1.2
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.8125,0.8113505210279404,0.8333333134651184,0.830153974198918,0.75,0.7469686725264819,0.8333333134651184,0.835410757824551,0.7708333333333334,0.7701109841547864,0.8402777910232544,0.8416521126329014,0.7222222222222222,0.7210553765915018,0.8402777910232544,0.8436090225563909,0.7013888888888888,0.6950631186742298,0.8402777910232544,0.8414505587181109,0.7222222222222222,0.7156330259778536,0.8055555820465088,0.8056513729708344,0.7291666666666666,0.7229855612482534,229.92232513427734,1.4
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.8125,0.8117667356797793,0.8541666865348816,0.8551594038860593,0.7152777777777778,0.709959110879116,0.8125,0.8143460394149381,0.7291666666666666,0.7229107056229931,0.819444477558136,0.822632695132302,0.7847222222222222,0.7796347622567135,0.8333333134651184,0.8355177240570498,0.7083333333333334,0.7062745904068641,0.7847222089767456,0.7865274694487838,0.7222222222222222,0.7110052429925388,0.8402777910232544,0.8410700052108195,0.6805555555555556,0.672664961112073,224.79662990570068,1.5999999999999999
UMD,3,36,144,0.8888888955116272,0.8910163311578883,0.8194444444444444,0.8189020222268304,0.875,0.8767674977352397,0.7152777777777778,0.7115337043908474,0.7777777910232544,0.780189546174201,0.7430555555555556,0.7281210150995233,0.8472222089767456,0.8479687728535907,0.7916666666666666,0.7904913076341648,0.8263888955116272,0.8290552584670232,0.7361111111111112,0.7347472322262237,0.8125,0.8127839742751704,0.75,0.7313813813813814,0.8055555820465088,0.8006060606060607,0.7638888888888888,0.7492931006152808,201.9330039024353,1.7999999999999998
Ham,2,109,105,0.7523809671401978,0.7512755102040817,0.6666666666666666,0.6661206661206662,0.8095238208770752,0.8081140350877193,0.6761904761904762,0.6753644314868804,0.761904776096344,0.7562447766737859,0.6857142857142857,0.6825948245303083,0.7428571581840515,0.742763814535886,0.6857142857142857,0.6732513857454565,0.7714285850524902,0.768892149669846,0.6952380952380952,0.6901587301587302,0.800000011920929,0.7973531844499586,0.7142857142857143,0.712875939849624,0.7809523940086365,0.7780534877309071,0.6761904761904762,0.6758961038961039,516.7588758468628,1.2
Ham,2,109,105,0.7523809671401978,0.7512755102040817,0.6666666666666666,0.6661206661206662,0.7904762029647827,0.7872144436256449,0.6571428571428571,0.6473689851034189,0.7333333492279053,0.7277777777777779,0.6952380952380952,0.6944606413994168,0.800000011920929,0.7997093287310383,0.6666666666666666,0.6619263089851326,0.7523809671401978,0.7420634920634921,0.6476190476190476,0.6458874458874458,0.7428571581840515,0.7424834226541921,0.6857142857142857,0.685771319688387,0.7714285850524902,0.7704081632653061,0.6857142857142857,0.6756571428571428,433.79720187187195,1.4
Ham,2,109,105,0.7523809671401978,0.7512755102040817,0.6666666666666666,0.6559999999999999,0.7523809671401978,0.7496331621423331,0.6571428571428571,0.6448979591836734,0.7142857313156128,0.7136363636363636,0.6857142857142857,0.683700555737169,0.800000011920929,0.8,0.6857142857142857,0.685771319688387,0.7904762029647827,0.7881511371973587,0.6761904761904762,0.6669595970421177,0.7714285850524902,0.7704081632653061,0.6857142857142857,0.6845673622062638,0.7142857313156128,0.7111151870873074,0.6857142857142857,0.6849149397246408,491.6598505973816,1.5999999999999999
Ham,2,109,105,0.7523809671401978,0.7512755102040817,0.6666666666666666,0.6559999999999999,0.8095238208770752,0.8093681917211328,0.6761904761904762,0.6707936507936508,0.761904776096344,0.7618183467924871,0.6761904761904762,0.6745927318295739,0.7428571581840515,0.7405034324942792,0.6857142857142857,0.6768422588647308,0.7428571581840515,0.742763814535886,0.6952380952380952,0.6927785347447857,0.761904776096344,0.7575953458306399,0.7047619047619048,0.7005633022439746,0.7333333492279053,0.731359649122807,0.7142857142857143,0.7143375492432096,455.22497630119324,1.7999999999999998
Ham,2,109,105,0.7523809671401978,0.7512755102040817,0.6761904761904762,0.6680952380952382,0.723809540271759,0.722904722904723,0.6666666666666666,0.6602284334664315,0.7142857313156128,0.7065946348733234,0.6571428571428571,0.653037161806506,0.7047619223594666,0.7020594965675058,0.6857142857142857,0.6831910539966375,0.6952381134033203,0.6825396825396826,0.6761904761904762,0.6723128750394778,0.7142857313156128,0.7142597968069666,0.7047619047619048,0.7044940179138529,0.6761904954910278,0.6711495946941783,0.6666666666666666,0.6559999999999999,513.7689065933228,1.2
